detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
347,0.20722649187108,0.115630083828467,secondary,æ?é?½?,0,taipeh,2,223,121.5039107,25.0432156
349,0.138772568169864,0.039353626684266,secondary,é???å??äº??,0,taipeh,2,203,121.5270656,25.032555
352,0.193884069870014,0.130735176427935,primary,????äº??,0,taipeh,3,65,121.5274607,25.0436999
358,0.185522953989987,0.108178844389286,primary,????ä¸??,0,taipeh,3,63,121.5261924,25.0442122
359,0.519765509912407,0.403307652668817,trunk,å¸?æ°??é?é«?æ?¶é??,0,taipeh,2,326,121.5410302,25.0447077
360,0.313864605592511,0.190423920685065,trunk,å¸?æ°??é?é«?æ?¶é??,0,taipeh,2,444,121.5564124,25.0449212
361,0.303710693562407,0.261103756570384,secondary,å¸?æ°??é?å???,0,taipeh,2,441,121.5511509,25.0444594
362,0.132040663214928,0.043694284940263,secondary,å?«??äº??,0,taipeh,1,272,121.5335602,25.044543
364,0.508070949008094,0.100009561487864,secondary,å¸?æ°??é?ä¸??,0,taipeh,2,325,121.54107,25.044411
366,0.180873426214779,0.054927391640265,primary,????ä¸??,0,taipeh,3,72,121.5221539,25.0451612
372,0.407596618114845,0.288331949360018,primary,????ä¸??,0,taipeh,3,230,121.5144846,25.0468635
373,0.219384600338081,0.129256490861053,secondary,å?«??äº??,0,taipeh,1,249,121.5405544,25.0467812
374,0.164060617451263,0.04356393046266,secondary,å???å??,0,taipeh,2,347,121.5578453,25.0463279
375,0.359381534166257,0.066658548661939,secondary,å¸?æ°??é?äº??,0,taipeh,2,324,121.5269468,25.0470035
378,0.368903663091801,0.279960491465927,trunk,å¸?æ°??é?é«?æ?¶é??,0,taipeh,2,323,121.527012,25.0472734
379,0.197485910093885,0.144562851470932,secondary,å¸?æ°??é?ä¸??,0,taipeh,2,227,121.5190885,25.0481487
380,0.346187429530611,0.112884467798596,secondary,æ?¦å??å??ä¸??,0,taipeh,2,389,121.54903,25.047099
383,0.208805481458469,0.051315824763995,primary,????äº??,0,taipeh,2,226,121.5082746,25.0485364
384,0.177598275058805,0.108486620673304,secondary,å?«??å???,0,taipeh,1,411,121.5620754,25.0486535
386,0.160473645685371,0.095307783555336,tertiary,é?·å®???ä¸??,0,taipeh,1,86,121.523809,25.049343
387,0.115152584342813,0.038734581127166,secondary,å???å???,0,taipeh,2,349,121.5579034,25.0488449
388,0.15195558711399,0.096969279048676,trunk,å¸?æ°??é?é«?æ?¶é??,0,taipeh,2,232,121.5218915,25.0480126
390,0.182784370678579,0.110048132742849,primary,??å???ä¸??,0,taipeh,2,77,121.5212187,25.0488781
393,0.221189368794467,0.131749176811582,tertiary,é?·å®???,0,taipeh,1,97,121.5190737,25.0504486
395,0.142617588984343,0.052508506291332,tertiary,é?·å®???,0,taipeh,1,18,121.5160407,25.051142
398,0.257088315858257,0.122282338339083,secondary,é?æ?¶å???ä¸??,0,taipeh,1,20,121.5141874,25.0528283
400,0.124568875751501,0.034729791435386,secondary,å???å???,0,taipeh,1,351,121.5571078,25.0523425
405,0.171738152317542,0.07578486088544,tertiary,æ???å???,0,taipeh,2,83,121.5254561,25.0531513
406,0.12562187558619,0.096293812145007,tertiary,å?æ???,0,taipeh,1,280,121.5301578,25.0539062
408,0.203693228828014,0.127370566808294,secondary,?æ±??,0,taipeh,3,274,121.5331789,25.0508205
410,0.27970113824701,0.188387591201068,tertiary,?å??å???ä¸??,0,taipeh,2,302,121.5365866,25.0512334
411,0.187349365657783,0.083615766691811,tertiary,é?·å®???,0,taipeh,1,8,121.5094885,25.0520386
413,0.155446294909136,0.035875884303951,secondary,å¸?æ°??é?äº??,0,taipeh,2,231,121.5218822,25.0478404
416,0.244536632956034,0.092366239424225,secondary,æ?¿??ä¸??,0,taipeh,3,17,121.5175051,25.0523167
420,0.156745461140497,0.074381563459001,residential,æ°?æ¨?è¡?,0,taipeh,1,10,121.5110295,25.0538511
423,0.145964768266854,0.076219164142581,tertiary,é?·æ?¥?,0,taipeh,1,2,121.5398527,25.0547009
424,0.138425271461525,0.087575188857035,tertiary,é?·æ?¥?,0,taipeh,1,281,121.5310715,25.0548658
426,0.329007841917512,0.143256366671879,secondary,?æ±??,0,taipeh,2,284,121.5331987,25.0566934
427,0.327945426870924,0.240117432402573,tertiary,é?·æ?¥?,0,taipeh,1,0,121.5356236,25.0547961
428,0.177379229929486,0.121852954452897,tertiary,?å??å???äº??,0,taipeh,2,300,121.5371037,25.0551117
429,0.175623375671524,0.111357982682964,service,,0,taipeh,2,299,121.5366434,25.0558079
430,0.10362289715098,0.069944882093482,tertiary,é?·æ?¥?,0,taipeh,1,88,121.525079,25.0549318
433,0.189465728471875,0.107338999965496,secondary,æ°?ç????,0,taipeh,1,12,121.5127495,25.0569923
434,0.093285740455762,0.040669656391832,tertiary,ä¸?æ°??,0,taipeh,1,375,121.5636666,25.0564916
435,0.169598452155045,0.04559899379919,secondary,æ°?ç????,0,taipeh,1,22,121.5144015,25.0570449
437,0.147771797288747,0.027110097465708,secondary,æ°?ç????,0,taipeh,1,26,121.519489,25.0575502
440,0.252163678271581,0.197781456754192,secondary,?è??å???,0,taipeh,3,239,121.5441348,25.0596387
446,0.298853189608401,0.064919453213687,tertiary,æ?°ç??å???äº??,0,taipeh,1,321,121.5276776,25.0542749
449,0.15016397053837,0.040962012109519,tertiary,æ?°ç??å???ä¸??,0,taipeh,2,122,121.5279824,25.0679225
455,0.156379934277761,0.117803947489417,trunk_link,,0,taipeh,2,123,121.5276801,25.0679411
456,0.248822889718462,0.201885248279807,tertiary,æ?°ç??å???äº??,0,taipeh,2,124,121.5275522,25.0621249
463,0.174310979914509,0.113406770124102,secondary,æ°?ç????,0,taipeh,1,93,121.5219939,25.0578363
465,0.138957638388083,0.083411663800121,tertiary,æ???å???,0,taipeh,1,100,121.525527,25.0571848
466,0.170576095350471,0.044991098570503,secondary,æ°?ç????ä¸??,0,taipeh,1,98,121.5260702,25.0580726
467,0.321761768457095,0.16100988543235,secondary,æ°?ç????äº??,0,taipeh,3,288,121.5349044,25.0579752
470,0.269189192706114,0.075176978957371,secondary,æ°?ç????äº??,0,taipeh,1,286,121.5310178,25.0579822
471,0.211977642828204,0.043369928671977,secondary,æ°?ç????äº??,0,taipeh,1,366,121.5588611,25.0585632
474,0.127122087679378,0.0875340592103,tertiary,æ???å???,0,taipeh,1,101,121.5255695,25.0594554
476,0.22088576547863,0.191724605736257,tertiary,?å??å???äº??,0,taipeh,2,297,121.5372185,25.0604978
477,0.240085909903551,0.106888386908976,secondary,é?æ?¶å???äº??,0,taipeh,3,32,121.5136579,25.0619091
478,0.421139465090957,0.244320557151918,secondary,æ?¦å??å???,0,taipeh,2,369,121.549993,25.0593763
479,0.139865832199598,0.039894988149047,secondary,æ°?æ¬???ä¸??,0,taipeh,3,257,121.5470299,25.0621465
480,0.112078797763884,0.048183681478392,secondary,æ°?æ¬???å???,0,taipeh,3,361,121.5596461,25.0624505
482,0.195260099668384,0.067393526118048,residential,?æ±??,0,taipeh,1,243,121.54096,25.063659
483,0.324220643923804,0.290190311040663,secondary,æ°?æ¬???å???,0,taipeh,3,362,121.55416,25.0618665
484,0.344153434283506,0.222218220249309,secondary,æ°?æ¬???å???,0,taipeh,3,363,121.5523154,25.0615896
486,0.172182135872106,0.048670059860528,secondary,æ°?æ¬???äº??,0,taipeh,2,290,121.5354411,25.0624577
487,0.342799814638663,0.131012027651658,secondary,æ°?æ¬???ä¸??,0,taipeh,2,245,121.5385497,25.0624259
488,0.273958027282796,0.035978161271594,secondary,æ°?æ¬???å???,0,taipeh,3,360,121.5587639,25.0621787
491,0.141290448736297,0.042517943742982,secondary,æ°?æ¬???äº??,0,taipeh,2,114,121.5308558,25.0626278
492,0.214501845802075,0.164916724647633,primary,æ°?æ¬???,0,taipeh,3,233,121.5163762,25.0628542
493,0.236198297798285,0.131383371254924,primary,æ°?æ¬???,0,taipeh,2,33,121.5173,25.063038
495,0.139978461629011,0.129742109954624,secondary,æ?¿??äº??,0,taipeh,3,30,121.5183203,25.0615523
496,0.100902005091483,0.05934683456662,tertiary,ä¸?æ°??,0,taipeh,1,359,121.5632534,25.0613204
499,0.166886375706032,0.070500617334878,tertiary,?å??å???ä¸??,0,taipeh,2,296,121.5349015,25.0665009
